metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,relevance_raw_mean,relevance_raw_std,relevance_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,27.09407091333221,27.297769204826537,100.0,0.0003944913002769526,87.39852143407612,,,,,,,,,,,,,,,,,,
coherence_raw,overall,95.79917922896078,3.4391003124124686,100.0,87.24340622943181,99.99974196142458,,,,,,,,,,,,,,,,,,
relevance_raw,overall,99.99947940261646,0.004377678835083864,100.0,99.95637034141835,99.99999999896191,,,,,,,,,,,,,,,,,,
,,,,,,,moralizing_0,14.37108272516551,0.0,1.0,95.00157793087033,0.0,1.0,99.99999993399712,0.0,1.0,,,,,,,,
,,,,,,,moralizing_1,26.306898253480792,0.0,1.0,94.38014249579766,0.0,1.0,99.99999857996205,0.0,1.0,,,,,,,,
,,,,,,,moralizing_2,3.163781436503639,0.0,1.0,93.8548509136684,0.0,1.0,99.99998495483302,0.0,1.0,,,,,,,,
,,,,,,,moralizing_3,8.384231300283172,0.0,1.0,98.56299176581092,0.0,1.0,99.99999977029077,0.0,1.0,,,,,,,,
,,,,,,,moralizing_4,11.138196714187945,0.0,1.0,93.61894937135398,0.0,1.0,99.99999905533316,0.0,1.0,,,,,,,,
,,,,,,,moralizing_5,10.311869143002701,0.0,1.0,94.5125241263368,0.0,1.0,99.9999929999131,0.0,1.0,,,,,,,,
,,,,,,,moralizing_6,9.821211672228959,0.0,1.0,97.28912619669956,0.0,1.0,99.9999999954702,0.0,1.0,,,,,,,,
,,,,,,,moralizing_7,12.648609141710212,0.0,1.0,89.26927379655676,0.0,1.0,99.99996813139508,0.0,1.0,,,,,,,,
,,,,,,,moralizing_8,21.340444611154577,0.0,1.0,99.67778726087181,0.0,1.0,99.9999999928922,0.0,1.0,,,,,,,,
,,,,,,,moralizing_9,23.042536854680463,0.0,1.0,94.7609032631287,0.0,1.0,99.9999997217869,0.0,1.0,,,,,,,,
,,,,,,,moralizing_10,86.53531397224307,0.0,1.0,99.92743987548957,0.0,1.0,99.99999999856136,0.0,1.0,,,,,,,,
,,,,,,,moralizing_11,5.454448045273347,0.0,1.0,96.0431856677812,0.0,1.0,99.99999983852022,0.0,1.0,,,,,,,,
,,,,,,,moralizing_12,8.407510555600853,0.0,1.0,99.66113322123671,0.0,1.0,99.99999999842964,0.0,1.0,,,,,,,,
,,,,,,,moralizing_13,6.246749184303936,0.0,1.0,94.84813452286818,0.0,1.0,99.99999570525935,0.0,1.0,,,,,,,,
,,,,,,,moralizing_14,66.35664744668448,0.0,1.0,99.94346857379591,0.0,1.0,99.99999999756002,0.0,1.0,,,,,,,,
,,,,,,,moralizing_15,8.380713340870628,0.0,1.0,94.06817575665215,0.0,1.0,99.99999801007063,0.0,1.0,,,,,,,,
,,,,,,,moralizing_16,73.65157804932653,0.0,1.0,99.49520105406374,0.0,1.0,99.99999999896191,0.0,1.0,,,,,,,,
,,,,,,,moralizing_17,44.169591815173796,0.0,1.0,99.38788268153637,0.0,1.0,99.99999999704278,0.0,1.0,,,,,,,,
,,,,,,,moralizing_18,12.889466492807333,0.0,1.0,99.564534442179,0.0,1.0,99.99999999718051,0.0,1.0,,,,,,,,
,,,,,,,moralizing_19,67.54709056661663,0.0,1.0,97.81014439795992,0.0,1.0,99.99999998124625,0.0,1.0,,,,,,,,
,,,,,,,moralizing_20,9.238799734347616,0.0,1.0,93.86550378933997,0.0,1.0,99.99997574242884,0.0,1.0,,,,,,,,
,,,,,,,moralizing_21,8.795294967965662,0.0,1.0,89.54904228480616,0.0,1.0,99.99999762869597,0.0,1.0,,,,,,,,
,,,,,,,moralizing_22,10.903275815596382,0.0,1.0,94.85063681933725,0.0,1.0,99.99999873966117,0.0,1.0,,,,,,,,
,,,,,,,moralizing_23,8.795849889038202,0.0,1.0,94.81114639441971,0.0,1.0,99.99999994023572,0.0,1.0,,,,,,,,
,,,,,,,moralizing_24,6.349146588964685,0.0,1.0,99.3750727513547,0.0,1.0,99.99999999759876,0.0,1.0,,,,,,,,
,,,,,,,moralizing_25,14.418999031595298,0.0,1.0,96.97230470977725,0.0,1.0,99.99999992872198,0.0,1.0,,,,,,,,
,,,,,,,moralizing_26,87.17539505621025,0.0,1.0,97.8300570492389,0.0,1.0,99.9999999951353,0.0,1.0,,,,,,,,
,,,,,,,moralizing_27,6.955494641023855,0.0,1.0,95.89029880626943,0.0,1.0,99.9999996355445,0.0,1.0,,,,,,,,
,,,,,,,moralizing_28,14.134508368822441,0.0,1.0,95.03271630521789,0.0,1.0,99.99985991953965,0.0,1.0,,,,,,,,
,,,,,,,moralizing_29,26.696112220456524,0.0,1.0,94.97493083394842,0.0,1.0,99.99999904791723,0.0,1.0,,,,,,,,
,,,,,,,moralizing_30,9.640941806251424,0.0,1.0,87.58177448459935,0.0,1.0,99.95637034141835,0.0,1.0,,,,,,,,
,,,,,,,moralizing_31,9.704345593393063,0.0,1.0,94.38083257300586,0.0,1.0,99.9999945664258,0.0,1.0,,,,,,,,
,,,,,,,moralizing_32,9.247989603883534,0.0,1.0,99.89745916832665,0.0,1.0,99.99999999434803,0.0,1.0,,,,,,,,
,,,,,,,moralizing_33,9.385810976919688,0.0,1.0,87.24340622943181,0.0,1.0,99.99997862570255,0.0,1.0,,,,,,,,
,,,,,,,moralizing_34,17.395303464494717,0.0,1.0,99.92798387526719,0.0,1.0,99.99999999831407,0.0,1.0,,,,,,,,
,,,,,,,moralizing_35,70.2831314194387,0.0,1.0,94.69769178404921,0.0,1.0,99.99881841634013,0.0,1.0,,,,,,,,
,,,,,,,moralizing_36,12.855801445438335,0.0,1.0,94.39668318756088,0.0,1.0,99.99999746574849,0.0,1.0,,,,,,,,
,,,,,,,moralizing_37,9.143769632567754,0.0,1.0,94.95417153993225,0.0,1.0,99.9999999177442,0.0,1.0,,,,,,,,
,,,,,,,moralizing_38,83.23895899905682,0.0,1.0,94.23129589852688,0.0,1.0,99.99999841386288,0.0,1.0,,,,,,,,
,,,,,,,moralizing_39,11.887007779373864,0.0,1.0,95.0050632799249,0.0,1.0,99.99998856086178,0.0,1.0,,,,,,,,
,,,,,,,moralizing_40,14.43448327760672,0.0,1.0,99.98515181745111,0.0,1.0,99.99999999369116,0.0,1.0,,,,,,,,
,,,,,,,moralizing_41,11.709668469905143,0.0,1.0,98.07622349154701,0.0,1.0,99.99999998605017,0.0,1.0,,,,,,,,
,,,,,,,moralizing_42,10.154789937118915,0.0,1.0,96.8440442126166,0.0,1.0,99.99998769152648,0.0,1.0,,,,,,,,
,,,,,,,moralizing_43,7.260979007831497,0.0,1.0,99.66425421506793,0.0,1.0,99.99999997024318,0.0,1.0,,,,,,,,
,,,,,,,moralizing_44,5.024751215289858,0.0,1.0,99.93958486685595,0.0,1.0,99.99999998930768,0.0,1.0,,,,,,,,
,,,,,,,moralizing_45,29.55333472798026,0.0,1.0,92.35689026939187,0.0,1.0,99.99999944922916,0.0,1.0,,,,,,,,
,,,,,,,moralizing_46,7.863010631043071,0.0,1.0,98.93246943031146,0.0,1.0,99.99999992956225,0.0,1.0,,,,,,,,
,,,,,,,moralizing_47,34.043939911477686,0.0,1.0,94.24441000175031,0.0,1.0,99.99999107748006,0.0,1.0,,,,,,,,
,,,,,,,moralizing_48,0.7825866542388535,0.0,1.0,95.53076816046169,0.0,1.0,99.99995869234554,0.0,1.0,,,,,,,,
